"Ind. Gravidade","Latitude GPS","Longitude GPS"
"3","40.194034","-8.414503"
"3","40.20503","-8.407678"
"3","40.2394","-8.437338"
"3","40.208798","-8.399203"
"3","40.195816","-8.40473"
"10","40.196254","-8.40266"
"3","40.204646","-8.401217"
"3","40.222112","-8.429076"
"3","40.224439","-8.416169"
"19","40.22644","-8.428"
"3","40.235385","-8.433497"
"3","40.211035","-8.41786"
"3","40.211427","-8.423293"
"6","40.254247","-8.432018"
"3","40.193544","-8.415647"
"3","40.26743","-8.444688"
"3","40.203046","-8.447399"
"3","40.214207","-8.445056"
"3","40.203198","-8.417717"
"3","40.218132","-8.411209"
"3","40.209558","-8.414193"
"3","40.181109","-8.443995"
"3","40.218725","-8.417131"
"6","40.21542","-8.436001"
"3","40.24058","-8.470953"
"3","40.22613","-8.433868"
"3","40.218815","-8.422949"
"3","40.207079","-8.366406"
"3","40.31218","-8.427447"
"3","40.2036","-8.418519"
"6","40.22697","-8.536441"
"3","40.214546","-8.444924"
"3","40.19444","-8.407888"
"3","40.198963","-8.452788"
"3","40.199655","-8.439953"
"6","40.200919","-8.407572"
"3","40.219595","-8.420462"
"3","40.22318","-8.42741"
"3","40.195252","-8.402617"
"3","40.186367","-8.404273"
"3","40.178838","-8.447822"
"3","40.200121","-8.438606"
"3","40.13005","-8.48026"
"3","40.222894","-8.427179"
"3","40.229902","-8.448147"
"3","40.219631","-8.438445"
"3","40.21396","-8.445852"
"3","40.215959","-8.432878"
"3","40.19549","-8.461238"
"3","40.200152","-8.403463"
"6","40.245092","-8.440548"
"10","40.18553","-8.560925"
"3","40.226195","-8.415966"
"3","40.204941","-8.40343"
"3","40.204826","-8.426461"
"3","40.226372","-8.440151"
"3","40.25167","-8.44285"
"3","40.214941","-8.430506"
"3","40.16301","-8.422683"
"3","40.215397","-8.43572"
"6","40.17505","-8.391645"
"6","40.251185","-8.439287"
"3","40.209122","-8.432077"
"3","40.22685","-8.536565"
"3","40.217942","-8.414701"
"3","40.217583","-8.437127"
"3","40.232633","-8.435793"
"3","40.217735","-8.437187"
"3","40.23935","-8.466597"
"3","40.200686","-8.418302"
"3","40.18296","-8.394799"
"3","40.253131","-8.434817"
"3","40.192765","-8.400657"
"3","40.200031","-8.423372"
"3","40.24043","-8.482878"
"3","40.205212","-8.436103"
"6","40.17234","-8.389478"
"3","40.192708","-8.42519"
"3","40.19728","-8.505478"
"3","40.213577","-8.427877"
"3","40.215994","-8.439509"
"3","40.226428","-8.410305"
"100","40.209968","-8.431746"
"3","40.18989","-8.5114"
"3","40.198822","-8.410621"
"3","40.30525","-8.400933"
"3","40.206743","-8.437361"
"3","40.20726","-8.429281"
"3","40.25077","-8.447821"
"3","40.200435","-8.442644"
"3","40.210966","-8.41479"
"3","40.200948","-8.42407"
"3","40.228921","-8.435076"
"6","40.21129","-8.42099"
"3","40.196748","-8.43071"
"3","40.12947","-8.481733"
"3","40.192792","-8.425542"
"3","40.195809","-8.410305"
"3","40.23408","-8.496251"
"6","40.205652","-8.432158"
"3","40.266083","-8.426704"
"3","40.201906","-8.424478"
"3","40.205224","-8.483336"
"6","40.193978","-8.398513"
"3","40.2229","-8.414047"
"3","40.221201","-8.430049"
"3","40.212502","-8.423338"
"6","40.27519","-8.436792"
"3","40.215453","-8.43563"
"3","40.213978","-8.445976"
"3","40.255866","-8.420723"
"3","40.199738","-8.451016"
"3","40.207769","-8.399987"
"3","40.209386","-8.402087"
"3","40.26091","-8.573467"
"3","40.209897","-8.463748"
"3","40.194641","-8.417617"
"3","40.28873","-8.424196"
"3","40.208142","-8.415984"
"3","40.195623","-8.431675"
"3","40.190793","-8.399721"
"3","40.195403","-8.402596"
"3","40.192706","-8.42543"
"3","40.21646","-8.438863"
"3","40.25937","-8.406547"
"3","40.193599","-8.402704"
"3","40.206786","-8.414857"
"3","40.223282","-8.43907"
"3","40.229707","-8.376019"
"6","40.22358","-8.39939"
"3","40.217103","-8.439369"
"3","40.206802","-8.476627"
"6","40.184297","-8.405147"
"3","40.204952","-8.401332"
"6","40.217958","-8.437429"
"3","40.206926","-8.428565"
"3","40.223325","-8.411714"
"3","40.214727","-8.432238"
"3","40.224028","-8.453084"
"3","40.204222","-8.425755"
"3","40.198875","-8.410575"
"3","40.214226","-8.459604"
"3","40.206818","-8.404189"
"3","40.230017","-8.436911"
"3","40.216543","-8.407538"
"3","40.208752","-8.431777"
"3","40.215681","-8.442743"
"6","40.196797","-8.412955"
"6","40.204331","-8.425593"
"3","40.198827","-8.41163"
"3","40.211048","-8.42031"
"10","40.257","-8.460538"
"3","40.214861","-8.403845"
"6","40.215993","-8.433611"
"3","40.207486","-8.400095"
"12","40.218221","-8.437625"
"3","40.208007","-8.409892"
"3","40.194738","-8.430577"
"3","40.205053","-8.401038"
"100","40.215747","-8.403836"
"3","40.192658","-8.42399"
"3","40.20107","-8.498397"
"12","40.24028","-8.492989"
"3","40.213448","-8.413682"
"6","40.194983","-8.450682"
"3","40.21173","-8.41421"
"6","40.243894","-8.432071"
"3","40.23631","-8.490801"
"3","40.204631","-8.394193"
"3","40.196221","-8.40269"
"3","40.201948","-8.414036"
"3","40.200144","-8.411248"
"3","40.213803","-8.428106"
"3","40.17689","-8.373449"
"3","40.27709","-8.435783"
"15","40.207687","-8.400128"
"3","40.25814","-8.406101"
"3","40.200323","-8.403528"
"3","40.19716","-8.505768"
"3","40.227496","-8.445918"
"10","40.254001","-8.432642"
"3","40.201805","-8.495966"
"3","40.29248","-8.446145"
"6","40.216475","-8.436682"
"3","40.206892","-8.420874"
"6","40.193932","-8.419771"
"6","40.217993","-8.437422"
"3","40.23587","-8.490911"
"3","40.216411","-8.406494"
"6","40.214051","-8.446411"
"3","40.20658","-8.354835"
"3","40.14806","-8.411791"
"3","40.27396","-8.438817"
"3","40.251076","-8.441838"
"3","40.30326","-8.426514"
"3","40.206942","-8.415457"
"3","40.214207","-8.445056"
"3","40.27208","-8.495967"
"3","40.195103","-8.408521"
"3","40.202532","-8.431354"
"3","40.208261","-8.454091"
"3","40.28954","-8.426594"
"3","40.17286","-8.390186"
"3","40.29693","-8.446167"
"6","40.217919","-8.437324"
"3","40.207701","-8.400016"
"6","40.2727","-8.443714"
"3","40.19369","-8.39817"
"3","40.207316","-8.437522"
"3","40.194537","-8.460262"
"3","40.190961","-8.415818"
"3","40.253051","-8.431931"
"3","40.24076","-8.4885"
"3","40.255939","-8.433332"
"3","40.226468","-8.410407"
"3","40.209273","-8.432281"
"3","40.232915","-8.451277"
"3","40.19283","-8.521764"
"3","40.214332","-8.412285"
"3","40.30051","-8.41735"
"3","40.16528","-8.461511"
"3","40.30378","-8.409417"
"3","40.214111","-8.393888"
"6","40.22709","-8.538984"
"3","40.20041","-8.422109"
"16","40.18351","-8.364007"
"3","40.20015","-8.487905"
"3","40.20423","-8.43331"
"3","40.226885","-8.439483"
"3","40.1527","-8.460529"
"3","40.20623","-8.404793"
"3","40.20197","-8.50198"
"3","40.202911","-8.404251"
"3","40.224744","-8.437552"
"3","40.21463","-8.446605"
"3","40.200424","-8.437542"
"3","40.20779","-8.406212"
"3","40.30479","-8.4482"
"3","40.26003","-8.443669"
"3","40.194676","-8.420956"
"3","40.199459","-8.438993"
"3","40.209748","-8.422003"
"3","40.202602","-8.404352"
"3","40.215696","-8.435717"
"3","40.17754","-8.389016"
"3","40.185502","-8.425139"
"3","40.195985","-8.414647"
"3","40.229709","-8.428825"
"3","40.208534","-8.43175"
"3","40.2114","-8.415674"
"3","40.24651","-8.452246"
"3","40.196565","-8.430699"
"3","40.13634","-8.48682"
"3","40.205851","-8.418834"
"3","40.18401","-8.373921"
"3","40.27501","-8.443783"
"3","40.207795","-8.405675"
"9","40.17398","-8.391055"
"3","40.18015","-8.392235"
"3","40.204772","-8.403369"
"3","40.197107","-8.417969"
"3","40.29073","-8.446167"
"3","40.31224","-8.426043"
"3","40.214296","-8.434636"
"6","40.18304","-8.402718"
"3","40.201244","-8.416868"
"3","40.225337","-8.407397"
"3","40.207449","-8.400309"
"3","40.212356","-8.430049"
"3","40.204781","-8.400731"
"3","40.195305","-8.449049"
"3","40.203123","-8.431642"
"3","40.195602","-8.42092"
"3","40.199655","-8.439953"
"6","40.198197","-8.397038"
"3","40.202137","-8.423244"
"3","40.209842","-8.471285"
"3","40.185239","-8.40355"
"9","40.26542","-8.442667"
"3","40.17864","-8.391876"
"3","40.213888","-8.445814"
"3","40.254735","-8.431126"
"9","40.245494","-8.430247"
"3","40.231354","-8.419794"
"3","40.16038","-8.425709"
"6","40.14136","-8.493517"
"10","40.266065","-8.424728"
"16","40.21774","-8.416058"
"3","40.190581","-8.399858"
"3","40.224883","-8.421937"
"3","40.194","-8.506411"
"3","40.211407","-8.413299"
"3","40.27732","-8.482068"
"3","40.18809","-8.38304"
"3","40.20414","-8.46895"
"3","40.22166","-8.486732"
"3","40.23383","-8.500628"
"10","40.184764","-8.39751"
"3","40.251842","-8.438118"
"6","40.26213","-8.459601"
"3","40.24605","-8.480222"
"3","40.213986","-8.420568"
"3","40.11514","-8.371947"
"3","40.213268","-8.430906"
"3","40.13218","-8.475197"
"6","40.248752","-8.45294"
"3","40.211079","-8.418024"
"3","40.23153","-8.500156"
"9","40.199033","-8.429621"
"16","40.27035","-8.45605"
"6","40.23677","-8.491789"
"3","40.19771","-8.504963"
"3","40.20202","-8.509265"
"3","40.27177","-8.400092"
"3","40.254857","-8.423588"
"3","40.209024","-8.453809"
"6","40.215064","-8.412816"
"3","40.203569","-8.478632"
"3","40.1983","-8.507516"
"3","40.16561","-8.46256"
"3","40.214255","-8.444988"
"6","40.202724","-8.435588"
"3","40.16127","-8.423241"
"3","40.27196","-8.44595"
"3","40.211851","-8.440452"
"3","40.254185","-8.43156"
"3","40.216499","-8.435583"
"3","40.214051","-8.446411"
"3","40.226394","-8.410369"
"6","40.254514","-8.43188"
"3","40.23118","-8.529006"
"3","40.19411","-8.505812"
"3","40.217067","-8.439397"
"3","40.215351","-8.435522"
"3","40.238277","-8.435645"
"3","40.223226","-8.411913"
"3","40.209548","-8.431579"
"3","40.25225","-8.461415"
"3","40.203403","-8.464638"
"3","40.214318","-8.446612"
"3","40.196299","-8.420892"
"3","40.2924","-8.446167"
"3","40.226847","-8.43754"
"3","40.21544","-8.435736"
"3","40.16816","-8.45589"
"3","40.16604","-8.457026"
"3","40.199998","-8.40662"
"3","40.216599","-8.435728"
"3","40.20417","-8.432458"
"100","40.216586","-8.384037"
"3","40.233748","-8.377297"
"3","40.254647","-8.428077"
"10","40.19086","-8.439595"
"6","40.17573","-8.391186"
"3","40.17709","-8.45377"
"3","40.207167","-8.412699"
"3","40.203186","-8.469581"
"3","40.213946","-8.376623"
"3","40.23362","-8.510225"
"3","40.219141","-8.421127"
"3","40.19309","-8.415711"
"3","40.210787","-8.419899"
"3","40.199697","-8.402904"
"10","40.18876","-8.511143"
"3","40.185231","-8.397613"
"6","40.194475","-8.413127"
"3","40.206781","-8.419968"
"3","40.207499","-8.411311"
"3","40.211982","-8.432812"
"3","40.23944","-8.467716"
"3","40.209594","-8.444109"
"9","40.185749","-8.425448"
"3","40.207387","-8.454733"
"3","40.200716","-8.39912"
"6","40.227657","-8.435428"
"3","40.213653","-8.428025"
"3","40.22089","-8.55088"
"3","40.192895","-8.429815"
"3","40.16599","-8.456834"
"3","40.225534","-8.433189"
"6","40.22183","-8.548773"
"3","40.196261","-8.402704"
"3","40.204053","-8.419563"
"15","40.24184","-8.484898"
"3","40.23404","-8.526237"
"3","40.19558","-8.40268"
"3","40.16423","-8.460191"
"3","40.221287","-8.432709"
"6","40.25299","-8.424561"
"3","40.20172","-8.497066"
"3","40.16468","-8.381656"
"3","40.192456","-8.420142"
"3","40.238462","-8.461584"
"3","40.28574","-8.488097"
"9","40.212619","-8.396479"
"15","40.17566","-8.494749"
"3","40.216339","-8.438781"
"12","40.23352","-8.507989"
"3","40.196409","-8.430639"
"3","40.234982","-8.443161"
"3","40.202211","-8.453256"
"3","40.193517","-8.415706"
"3","40.206248","-8.404341"
"6","40.19762","-8.505714"
"3","40.189862","-8.40153"
"3","40.220348","-8.439007"
"3","40.210962","-8.39747"
"3","40.218775","-8.423063"
"3","40.28871","-8.446167"
"3","40.222498","-8.439649"
"3","40.28682","-8.422012"
"3","40.196097","-8.402694"
"15","40.14982","-8.427587"
"100","40.19965","-8.51596"
"6","40.208136","-8.415975"
"3","40.197671","-8.421042"
"3","40.216469","-8.435588"
"3","40.245576","-8.443963"
"3","40.210037","-8.431754"
"3","40.28913","-8.424157"
"3","40.249617","-8.409622"
"3","40.252809","-8.424112"
"3","40.223267","-8.439097"
"3","40.218005","-8.437399"
"3","40.22409","-8.487357"
"3","40.2039","-8.425021"
"10","40.194355","-8.406608"
"3","40.209577","-8.431456"
"3","40.17959","-8.391405"
"3","40.198842","-8.406336"
"3","40.243351","-8.443159"
"3","40.227958","-8.416181"
"6","40.243944","-8.431998"
"3","40.206971","-8.429437"
"3","40.19213","-8.507755"
"3","40.21453","-8.372746"
"3","40.214083","-8.427444"
"3","40.209039","-8.459709"
"3","40.208534","-8.43175"
"3","40.23423","-8.494548"
"10","40.204222","-8.425755"
"3","40.219607","-8.420491"
"3","40.214059","-8.433228"
"3","40.217944","-8.437412"
"3","40.18578","-8.371443"
"3","40.19112","-8.508621"
"9","40.17631","-8.467959"
"3","40.208116","-8.417306"
"3","40.216061","-8.438913"
"3","40.19049","-8.520989"
"3","40.201194","-8.417077"
"3","40.200206","-8.440497"
"3","40.201612","-8.410253"
"6","40.209975","-8.431795"
"3","40.28877","-8.446169"
"3","40.21899","-8.435356"
"3","40.183424","-8.403099"
"3","40.213857","-8.421675"
"3","40.13027","-8.479883"
"3","40.208379","-8.4153"
"3","40.27251","-8.494217"
"3","40.196515","-8.431697"
"3","40.196087","-8.414447"
"3","40.214298","-8.452175"
"3","40.14357","-8.383394"
"3","40.21814","-8.558693"
"3","40.203375","-8.482474"
"3","40.195737","-8.41516"
"3","40.208115","-8.421489"
"3","40.27412","-8.438433"
"3","40.207921","-8.42484"
"3","40.27247","-8.443017"
"3","40.211743","-8.424344"
"100","40.218494","-8.438647"
"3","40.218343","-8.424724"
"3","40.19292","-8.48725"
"3","40.199567","-8.432543"
"3","40.225743","-8.436808"
"3","40.210323","-8.397766"
"3","40.23865","-8.437208"
"3","40.207113","-8.429352"
"3","40.14557","-8.383"
"3","40.27523","-8.443793"
"3","40.17062","-8.391548"
"3","40.22108","-8.429778"
"3","40.220978","-8.439364"
"3","40.223076","-8.411717"
"3","40.214861","-8.373939"
"3","40.19657","-8.486614"
"3","40.22686","-8.437521"
"9","40.216917","-8.438523"
"3","40.207167","-8.412699"
"3","40.1498","-8.428284"
"3","40.206793","-8.41444"
"3","40.212893","-8.431662"
"3","40.19277","-8.522843"
"3","40.201777","-8.407295"
"3","40.217437","-8.436839"
"3","40.177881","-8.427859"
"3","40.197096","-8.403486"
"3","40.212836","-8.383749"
"3","40.18277","-8.394456"
"3","40.200078","-8.42172"
"3","40.218361","-8.484437"
"3","40.185338","-8.41257"
"3","40.17524","-8.382096"
"3","40.199806","-8.424356"
"6","40.214209","-8.453846"
"3","40.206726","-8.414458"
"3","40.20055","-8.36993"
"3","40.210828","-8.432237"
"6","40.234982","-8.443161"
"3","40.196614","-8.405724"
"3","40.222495","-8.415064"
"3","40.250775","-8.44326"
"3","40.2115","-8.411316"
"3","40.226836","-8.437544"
"3","40.214513","-8.410458"
"3","40.214344","-8.414646"
"10","40.240911","-8.434731"
"3","40.222487","-8.439879"
"3","40.211979","-8.432779"
"3","40.221201","-8.430049"
"10","40.22406","-8.424289"
"3","40.216713","-8.436724"
"3","40.213704","-8.441416"
"10","40.21755","-8.564599"
"3","40.180013","-8.447407"
"3","40.19124","-8.510078"
"3","40.216701","-8.43834"
"3","40.195029","-8.409988"
"3","40.247775","-8.442502"
"3","40.222235","-8.396687"
"3","40.194001","-8.406421"
"3","40.211849","-8.413264"
"3","40.210962","-8.39747"
"3","40.193314","-8.398685"
"3","40.30252","-8.411855"
"3","40.198992","-8.411615"
"3","40.204084","-8.425204"
"6","40.243563","-8.442863"
"3","40.210639","-8.426748"
"6","40.27104","-8.473184"
"3","40.20586","-8.498204"
"220","40.238274","-8.459874"
"3","40.21885","-8.47459"
"6","40.249162","-8.442523"
"3","40.19175","-8.438637"
"3","40.182909","-8.41181"
"3","40.210122","-8.431515"
"3","40.193537","-8.402137"
"100","40.206196","-8.430321"
"6","40.201595","-8.47294"
"3","40.182669","-8.448295"
"6","40.23628","-8.489722"
"3","40.223441","-8.46201"
"3","40.19501","-8.402653"
"3","40.233612","-8.437345"
"3","40.16758","-8.463932"
"3","40.215525","-8.440261"
"3","40.28335","-8.445611"
"3","40.215889","-8.439631"
"3","40.220256","-8.43897"
"3","40.24315","-8.489994"
"3","40.215889","-8.439631"
"3","40.20913","-8.365452"
"9","40.204699","-8.435665"
"6","40.2524","-8.462514"
"3","40.217968","-8.429492"
"3","40.14901","-8.46246"
"3","40.22108","-8.429778"
"3","40.18405","-8.347528"
"10","40.208798","-8.431158"
