Ind. Gravidade,Latitude GPS,Longitude GPS
3,40.192607,-8.420199
3,40.210666,-8.427181
3,40.236895,-8.456835
3,40.192896,-8.39795
6,40.211679,-8.463821
3,40.240226,-8.437622
3,40.216727,-8.407034
9,40.214265,-8.453056
3,40.20037,-8.408246
6,40.212836,-8.383749
3,40.197152,-8.402608
3,40.195705,-8.433403
3,40.199218,-8.411663
3,40.2076,-8.400511
3,40.210257,-8.439686
3,40.184813,-8.406827
3,40.216209,-8.430293
3,40.178185,-8.448594
9,40.250801,-8.443343
3,40.191697,-8.427783
3,40.206245,-8.403431
3,40.210496,-8.431977
3,40.216661,-8.397443
6,40.233115,-8.451568
3,40.214382,-8.414257
3,40.215445,-8.43574
6,40.209661,-8.414156
3,40.245849,-8.429844
6,40.219574,-8.420473
3,40.228924,-8.447149
3,40.226002,-8.408382
3,40.238393,-8.436648
9,40.219574,-8.420473
3,40.207327,-8.437874
3,40.193792,-8.396757
13,40.193541,-8.420908
3,40.199,-8.441864
3,40.217526,-8.437042
3,40.197002,-8.454002
6,40.204196,-8.40291
3,40.21344,-8.43388
3,40.198137,-8.42102
3,40.201695,-8.400169
3,40.200109,-8.419758
3,40.236639,-8.43655
3,40.211824,-8.464158
3,40.196657,-8.482008
3,40.213338,-8.433731
3,40.179603,-8.447188
3,40.211167,-8.415289
3,40.220233,-8.429959
3,40.205932,-8.473466
3,40.193983,-8.404879
3,40.216592,-8.438575
3,40.207591,-8.40047
3,40.207824,-8.406671
3,40.205477,-8.406533
3,40.223899,-8.440369
3,40.193214,-8.420357
3,40.202129,-8.485425
3,40.210552,-8.413767
3,40.240041,-8.440026
10,40.200101,-8.438629
3,40.221577,-8.431133
6,40.203249,-8.4343
3,40.217935,-8.413531
3,40.211251,-8.440075
3,40.207577,-8.41098
3,40.21954,-8.459382
3,40.19546,-8.450913
3,40.215696,-8.435717
3,40.186958,-8.402098
3,40.217703,-8.471974
3,40.207591,-8.40047
3,40.247268,-8.428725
10,40.18988,-8.400643
3,40.256004,-8.419613
6,40.246151,-8.441836
3,40.235506,-8.415173
3,40.199696,-8.429781
3,40.224056,-8.442127
6,40.197281,-8.402682
3,40.190289,-8.401505
6,40.1773,-8.424752
3,40.214417,-8.395529
3,40.211762,-8.426225
3,40.213781,-8.432334
3,40.253491,-8.433839
3,40.220044,-8.409894
3,40.251404,-8.43907
100,40.210617,-8.432166
3,40.190953,-8.399659
6,40.2039,-8.425021
6,40.217786,-8.415841
3,40.208975,-8.438822
3,40.253,-8.424232
3,40.193959,-8.39578
3,40.211474,-8.43253
3,40.214432,-8.41912
3,40.208621,-8.443737
6,40.213967,-8.445777
3,40.203617,-8.433433
3,40.209648,-8.431039
6,40.227988,-8.428233
3,40.212324,-8.425475
3,40.214209,-8.427716
3,40.191437,-8.429735
6,40.183983,-8.406402
3,40.216663,-8.407322
3,40.210311,-8.402869
3,40.203314,-8.410257
3,40.196503,-8.408015
3,40.215684,-8.396534
3,40.226404,-8.437791
3,40.207912,-8.400855
3,40.184043,-8.396215
3,40.200327,-8.432905
3,40.194079,-8.480152
3,40.23556,-8.43269
3,40.211349,-8.424228
3,40.21217,-8.440758
3,40.185593,-8.43083
3,40.216593,-8.435355
6,40.205039,-8.400998
3,40.204377,-8.408916
3,40.209406,-8.423765
6,40.221594,-8.402226
3,40.215009,-8.417363
6,40.18442,-8.396501
3,40.198859,-8.410838
3,40.240202,-8.437731
3,40.192294,-8.479108
3,40.21538,-8.442002
3,40.216346,-8.413406
3,40.200994,-8.404087
3,40.210967,-8.455911
3,40.22329,-8.427329
3,40.214479,-8.428441
3,40.228638,-8.435168
3,40.21546,-8.435733
3,40.229219,-8.447445
3,40.235379,-8.417395
3,40.217539,-8.437715
3,40.204364,-8.468288
18,40.217514,-8.438067
3,40.220394,-8.429287
3,40.216231,-8.439222
6,40.251058,-8.421589
3,40.215027,-8.413657
6,40.254631,-8.431188
3,40.209376,-8.414301
3,40.194393,-8.460079
3,40.216187,-8.480575
3,40.20311,-8.409141
3,40.194764,-8.412817
3,40.211115,-8.415359
3,40.219742,-8.437591
6,40.188502,-8.418623
3,40.212969,-8.431537
3,40.200181,-8.392294
3,40.206897,-8.415448
3,40.211172,-8.423369
3,40.20754,-8.399984
3,40.207868,-8.410304
3,40.24332,-8.442865
3,40.216009,-8.437644
3,40.212741,-8.398897
3,40.214329,-8.449546
3,40.222961,-8.446625
10,40.201402,-8.430669
3,40.216497,-8.43906
6,40.198766,-8.429631
3,40.192264,-8.431695
3,40.20945,-8.402814
6,40.206168,-8.407927
3,40.207133,-8.415392
3,40.20617,-8.407944
3,40.21208,-8.462938
3,40.235514,-8.432223
3,40.220254,-8.468534
22,40.215475,-8.442178
3,40.196346,-8.432624
3,40.223904,-8.440001
3,40.217635,-8.472761
9,40.216603,-8.435648
6,40.218229,-8.414082
3,40.212852,-8.43186
3,40.214318,-8.446612
3,40.221265,-8.439681
3,40.184736,-8.397604
6,40.207237,-8.429867
3,40.252929,-8.424221
3,40.230581,-8.428685
6,40.193974,-8.436846
10,40.219256,-8.428555
3,40.184101,-8.433031
3,40.206508,-8.43733
3,40.207717,-8.421104
3,40.187337,-8.400491
3,40.21694,-8.438234
10,40.21033,-8.413826
10,40.245,-8.445924
3,40.197246,-8.461622
3,40.191647,-8.430985
3,40.219067,-8.420389
3,40.203159,-8.434919
10,40.190911,-8.39964
3,40.189507,-8.401429
3,40.203771,-8.469611
3,40.219923,-8.438262
3,40.208359,-8.418179
3,40.21957,-8.421054
3,40.218201,-8.413625
3,40.183424,-8.403099
3,40.207027,-8.429689
3,40.232831,-8.430122
3,40.214632,-8.44642
3,40.220441,-8.441183
3,40.206877,-8.415456
3,40.20369,-8.435055
3,40.184572,-8.39764
10,40.254118,-8.440094
3,40.219475,-8.438772
3,40.201276,-8.480619
6,40.193319,-8.436495
6,40.191626,-8.430348
3,40.195342,-8.450062
3,40.195527,-8.452783
6,40.229268,-8.447443
3,40.21607,-8.409037
3,40.195441,-8.402705
3,40.214318,-8.446612
3,40.206284,-8.420216
3,40.217132,-8.439381
3,40.180292,-8.445747
3,40.238781,-8.436785
3,40.225287,-8.417537
3,40.214265,-8.453056
3,40.181838,-8.448739
3,40.192682,-8.419606
3,40.19871,-8.398751
3,40.238793,-8.43546
6,40.187247,-8.400431
6,40.184288,-8.405148
3,40.216043,-8.413393
3,40.22329,-8.427426
3,40.223951,-8.441442
3,40.214213,-8.441156
3,40.26124,-8.428682
3,40.200671,-8.40641
